,,,,,,,
,Local,Secretaria,Contato ,Endereço,Fotos,Informações Adicionais - PT ,Informações Adicionais - ENG
,PRAIAS/ LAGOAS / Montanhas,,,,,,
,Praias de Itaipuaçu ,SEC.POSTURA,,PRAIA DE ITAiPUACU,PRAIA DE ITAPUAÇÚ,"O distrito de Itaipuaçu abrange uma extensa faixa costeira de Maricá, apresentando uma orla diversa e pouco linear. Suas praias são conhecidas por ondas mais fortes e areia de grãos médios a mais grossos em alguns trechos. No interior da zona costeira, há ecossistemas de restinga, trechos de vegetação nativa e manguezais que compõem a transição entre terra firme e o mar. Itaipuaçu funciona como elo entre diversos bairros litorâneos, integrando visual marítimo contínuo. Para gravações, é ideal para capturas amplas da praia, transições orla/floresta, cenas de caminhada costeira, surf e inserções de paisagem natural com baixa interferência urbana.","The district of Itaipuaçu covers an extensive coastal stretch of Maricá, featuring a diverse and irregular shoreline. Its beaches are known for stronger waves and sand with medium to coarse grains in some areas. Within the coastal zone, there are restinga ecosystems, patches of native vegetation, and mangroves that form the transition between solid ground and the sea. Itaipuaçu serves as a link between several seaside neighborhoods, creating a continuous maritime landscape."
,Área preservada da praia de Itaipuaçu,SEC.POSTURA,,,,,
,Ponta Negra,,,PRAIA DE PONTA NEGRA,PRAIA DE PONTA NEGRA,"Ponta Negra, distrito litorâneo de Maricá, combina praia, vegetação costeira, morros e pontos rochosos que compõem um ambiente costeiro diversificado. Há um canal que conecta a lagoa ao oceano, usado por pescadores e visitantes, e uma orla que se estende até o promontório onde se ergue o farol local. O nome “Ponta Negra” é atribuído ao visual de um paredão escuro avistado do mar, e em torno dessa orla, vegetação de restinga se mescla a trechos rochosos e areia. Do farol, é possível ter uma vista ampla da costa maricaense e da interação entre mar, lagoas e vegetação litorânea. A combinação de mar, rochas e transição paisagística torna Ponta Negra atrativa para cenas costeiras, contextual urbano-praia, planos amplos e tomadas de valorização da natureza local.","Ponta Negra, a coastal district of Maricá, combines beach, coastal vegetation, hills, and rocky formations that make up a diverse seaside environment. A channel connects the lagoon to the ocean, used by both fishermen and visitors, and the shoreline extends to the promontory where the local lighthouse stands. The name “Ponta Negra” is attributed to the appearance of a dark cliff visible from the sea. Around its coastline, restinga vegetation blends with rocky and sandy stretches. From the lighthouse, there is a wide view of Maricá’s coast and the interaction between sea, lagoons, and coastal vegetation."
,Praia do Recanto,,,"R. Dr. Adair Farah Da Mota, 95 - Itaipuaçu, Maricá - RJ, 24937-110",PRAIA DO RECANTO,"A Praia do Recanto nasce como um trecho da costa de Itaipuaçu, abraçada pela Pedra do Elefante ao fundo, e se desenvolve com uma faixa arenosa razoavelmente extensa. Há um píer de pedras (quebra-mar) que avança mar adentro, formando um prolongamento rochoso visível. A areia tem textura relativamente grossa, menos aderente ao corpo, e quiosques improvisados de moradores estão distribuídos ao longo da orla","Praia do Recanto forms part of the Itaipuaçu coastline, framed by the Pedra do Elefante in the background, and unfolds along a reasonably long sandy strip. A stone pier (breakwater) extends into the sea, forming a visible rocky projection. The sand is relatively coarse, less adherent to the skin, and a few simple kiosks set up by local residents line the shore."
,Extensão da Restinga,SEC.POSTURA,,"Zacarias, Maricá - RJ",RESTINGA,"A “extensão da restinga” refere-se ao ecossistema de vegetação costeira que acompanha trechos da orla entre a praia e o continente, integrando trechos de solo arenoso, dunas, vegetação baixa e espécies adaptadas ao ambiente costeiro. Em Maricá, essa restinga aparece intercalada entre praias, dunas e áreas de transição para manguezais ou áreas mais interiores.","The “restinga extension” refers to the coastal vegetation ecosystem that stretches along sections of the shoreline between the beach and the mainland, integrating sandy soils, dunes, low vegetation, and species adapted to coastal conditions. In Maricá, this restinga appears interspersed among beaches, dunes, and transitional areas leading to mangroves or more inland regions."
,Praia da Sacristia,SEC.POSTURA,,,,,
,Gruta da Sacristia,SEC.POSTURA,,"R. Ponta Negra - Campo Grande, Maricá - RJ, 23095-050",GRUTA DA SACRISTIAk,"A Gruta da Sacristia está localizada entre Ponta Negra e Jaconé, em Maricá, em meio a formações rochosas erosionadas pela ação marítima ao longo de milhões de anos. As rochas apresentam relevos marcantes e uma “pedra pontuda” que se projeta sobre o mar, muito fotografada. O acesso costuma se dar por uma trilha curta a partir da praia da Sacristia ou por senda rochosa próxima, com trechos mais escorregadios. Em maré baixa, a faixa da praia aparece entre pedras e areia fina; em maré alta, as rochas ocupam boa parte da orla. É local valorizado por sua beleza selvagem e por seu papel no Geoparque costões interiores, sendo ponto de observação panorâmica do litoral de Maricá. ","The ""Gruta da Sacristia"" is located between Ponta Negra and Jaconé, in Maricá, among rock formations sculpted by maritime erosion over millions of years. The rocks feature striking reliefs and a sharp “pointed stone” that juts out over the sea, a favorite spot for photography. Access is usually via a short trail from Sacristia Beach or a nearby rocky path, with some slippery sections. At low tide, a narrow sandy strip appears between the rocks; at high tide, the rocks dominate most of the shoreline. The grotto is valued for its wild beauty and for its role within the local geopark, serving as a panoramic observation point of Maricá’s coastline."
,Pedra do Elefante,SEC.POSTURA,,,,,
,Pedra do Macaco,SEC.POSTURA,,"São José de Imbassai, Maricá - RJ",PEDRA DO MACACO,"A Pedra do Macaco fica no bairro São José do Imbassaí, município de Maricá, próximo ao km 21 da Rodovia Amaral Peixoto. A trilha de acesso tem cerca de 0,8 km de extensão, com desnível positivo de aproximadamente 251 metros e elevação máxima de 246 metros.","Pedra do Macaco is located in the São José do Imbassaí neighborhood, in the municipality of Maricá, near kilometer 21 of the Amaral Peixoto Highway. The trail to the summit is about 0.8 km long, with an elevation gain of approximately 251 meters and a maximum altitude of 246 meters."
,Farol de Ponta Negra,SEC.POSTURA,,"Farol de Ponta Negra - R. do Farol - Ponta Negra, Maricá - RJ, 24923-050",FAROL DE PONTA NEGRA,"O Farol de Ponta Negra é um ponto emblemático de Maricá, de uso da Marinha, com presença simbólica e visual dominante. Inaugurado em meados do século XX, sua estrutura foi reformada e modernizada, incorporando lanternas modernas e auxílio solar em alguns segmentos. Do topo do farol, é possível avistar uma vasta extensão da orla marítima, os campos costeiros e parte da vegetação litorânea, sendo um excelente mirante para capturas panorâmicas. ","The Ponta Negra Lighthouse is one of Maricá’s most emblematic landmarks, operated by the Brazilian Navy and featuring a strong visual and symbolic presence. Inaugurated in the mid-20th century, its structure was renovated and modernized, incorporating updated lanterns and solar power assistance. From the top, it offers a vast view of the seashore, coastal plains, and native vegetation, serving as an excellent natural lookout point."
,Deck de Araçatiba,SEC.POSTURA,,,,,
,Praia de Cordeirinho,SEC.POSTURA,,,,,
,Lagoa de Araçatiba,SEC.POSTURA,,"R. Álvares de Castro, 612-670 - Eldorado, Maricá - RJ, 24900-000",LAGOA DE ARAÇATIBA,"A Lagoa de Araçatiba integra o complexo lagunar de Maricá e está conectada ao mar por canais costeiros. Ela compõe o ecossistema lagunar da cidade, que inclui seis lagoas principais e vários canais que estabelecem ligação com o oceano. Em momentos de maré adequada, as transições entre água doce e salgada ficam reveladas nos canais, configurando cenários belíssimos de paisagem aquática e vegetação ribeirinha. ","The Araçatiba Lagoon is part of Maricá’s lagoon complex and is connected to the sea through coastal channels. It belongs to the city’s wider lagoon ecosystem, which includes six main lagoons and several channels that link to the ocean. During suitable tides, transitions between fresh and salt water become visible, creating stunning aquatic landscapes surrounded by riparian vegetation."
,Lagoa de Jacaroá ,SEC.POSTURA,,,,,
,Lagoa de Bambuí,SEC.POSTURA,,,,,
,,,,,,,
